2026-06-15 16:32:42,173 | INFO    | matplotlib.font_manager | generated new fontManager
2026-06-15 16:33:12,344 | INFO    | jarvis.benchmarks.quantization | Model qwen2.5:7b-instruct-q8_0 not present — pulling.
2026-06-15 16:33:12,347 | INFO    | jarvis.core.ollama_client | Pulling model qwen2.5:7b-instruct-q8_0 ...
2026-06-15 16:49:24,955 | INFO    | jarvis.benchmarks.plots | Saved plot quant_size_vs_speed
2026-06-15 16:49:26,103 | INFO    | jarvis.benchmarks.plots | Saved plot quant_tradeoff
2026-06-15 16:49:27,784 | INFO    | jarvis.benchmarks.plots | Saved plot quant_quality_by_category
2026-06-15 16:49:29,859 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_latency
2026-06-15 16:49:31,588 | INFO    | jarvis.benchmarks.plots | Saved plot kv_context_vs_ram
2026-06-15 16:50:54,767 | WARNING | primp.impersonate | Impersonate 'safari_15.6.1' does not exist, using 'random'
2026-06-15 16:50:55,930 | INFO    | primp | response: https://duckduckgo.com/ 200
2026-06-15 16:50:56,859 | INFO    | primp | response: https://links.duckduckgo.com/d.js?q=latest+stable+Python+version+2023&kl=wt-wt&l=wt-wt&p=&s=0&df=&vqd=4-167676038051453302035503998918524547579&bing_market=wt-WT&ex=-1 202
2026-06-15 16:50:56,862 | ERROR   | jarvis.mcp.search_server | Search backend 'duckduckgo' failed: https://links.duckduckgo.com/d.js?q=latest+stable+Python+version+2023&kl=wt-wt&l=wt-wt&p=&s=0&df=&vqd=4-167676038051453302035503998918524547579&bing_market=wt-WT&ex=-1 202 Ratelimit
2026-06-15 16:51:20,819 | INFO    | primp | response: https://duckduckgo.com/ 202
2026-06-15 16:51:20,879 | ERROR   | jarvis.mcp.search_server | Search backend 'duckduckgo' failed: https://duckduckgo.com/ 202 Ratelimit
2026-06-15 16:51:30,506 | INFO    | primp | response: https://duckduckgo.com/ 202
2026-06-15 16:51:30,571 | ERROR   | jarvis.mcp.search_server | Search backend 'duckduckgo' failed: https://duckduckgo.com/ 202 Ratelimit
2026-06-15 19:43:23,842 | WARNING | primp.impersonate | Impersonate 'chrome_105' does not exist, using 'random'
2026-06-15 19:43:23,363 | INFO    | primp | response: https://duckduckgo.com/ 200
2026-06-15 19:43:24,082 | INFO    | primp | response: https://links.duckduckgo.com/d.js?q=latest+stable+Python+version+2023&kl=wt-wt&l=wt-wt&p=&s=0&df=&vqd=4-167679043651025475967729836147226100779&bing_market=wt-WT&ex=-1 202
2026-06-15 19:43:24,084 | ERROR   | jarvis.mcp.search_server | Search backend 'duckduckgo' failed: https://links.duckduckgo.com/d.js?q=latest+stable+Python+version+2023&kl=wt-wt&l=wt-wt&p=&s=0&df=&vqd=4-167679043651025475967729836147226100779&bing_market=wt-WT&ex=-1 202 Ratelimit
2026-06-15 19:43:46,164 | INFO    | primp | response: https://duckduckgo.com/ 200
2026-06-15 19:43:46,921 | INFO    | primp | response: https://links.duckduckgo.com/d.js?q=current+population+of+Tokyo+recent+news+headline&kl=wt-wt&l=wt-wt&p=&s=0&df=&vqd=4-288379921747079821997324034438488841143&bing_market=wt-WT&ex=-1 202
2026-06-15 19:43:46,923 | ERROR   | jarvis.mcp.search_server | Search backend 'duckduckgo' failed: https://links.duckduckgo.com/d.js?q=current+population+of+Tokyo+recent+news+headline&kl=wt-wt&l=wt-wt&p=&s=0&df=&vqd=4-288379921747079821997324034438488841143&bing_market=wt-WT&ex=-1 202 Ratelimit
2026-06-15 19:43:55,423 | INFO    | primp | response: https://duckduckgo.com/ 202
2026-06-15 19:43:55,489 | ERROR   | jarvis.mcp.search_server | Search backend 'duckduckgo' failed: https://duckduckgo.com/ 202 Ratelimit
2026-06-15 20:56:42,735 | WARNING | primp.impersonate | Impersonate 'firefox_133' does not exist, using 'random'
2026-06-15 20:56:43,961 | INFO    | primp | response: https://lite.duckduckgo.com/lite/ 202
2026-06-15 20:56:43,968 | INFO    | duckduckgo_search.DDGS | Error to search using lite backend: https://lite.duckduckgo.com/lite/ 202 Ratelimit
